features_id,bedrooms,squareFootage,features,bathrooms,lotSize
96,3.0,2865.0,"{'architectureType': 'Conventional', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick / Stone', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Masonry', 'garage': True, 'garageType': 'Attached', 'heating': True, 'roofType': 'Shingle', 'roomCount': 8, 'unitCount': 1}",2.5,42689.0
97,1.0,416.0,unknown,1.0,0.0
98,0.0,1160.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Wood', 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageType': 'Carport', 'heating': True, 'heatingType': 'Central', 'roofType': 'Asphalt', 'unitCount': 1}",2.0,16200.0
99,4.0,1640.0,"{'cooling': True, 'coolingType': 'Central', 'fireplace': True, 'fireplaceType': 'Single', 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'unitCount': 1}",2.0,5200.0
100,3.0,2080.0,"{'cooling': True, 'exteriorType': 'Stucco', 'floorCount': 1, 'foundationType': 'OTHER', 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Package', 'roofType': 'Composition Shingle', 'roomCount': 4, 'unitCount': 1, 'coolingType': 'Commercial'}",2.0,6369.0
101,2.0,1086.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick Veneer', 'floorCount': 1, 'heating': True, 'heatingType': 'Central', 'unitCount': 1}",2.0,0.0
102,3.0,1490.0,{},2.0,9181.0
103,4.0,2374.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'pool': True, 'roofType': 'Asphalt', 'unitCount': 1}",2.0,6534.0
104,4.0,2646.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'OTHER', 'fireplace': True, 'fireplaceType': 'Gas Log', 'floorCount': 2, 'foundationType': 'OTHER', 'garage': True, 'garageType': 'Built-in', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle', 'roomCount': 8, 'unitCount': 1}",2.0,12500.0
105,3.0,1576.0,unknown,2.0,8869.0
106,3.0,1151.0,"{'architectureType': 'Ranch', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick Veneer', 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roomCount': 6, 'unitCount': 1}",1.5,5401.0
107,3.0,1404.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 2, 'foundationType': 'OTHER', 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle', 'roomCount': 6}",1.5,13068.0
108,0.0,500.0,{},1.0,0.0
109,4.0,2695.0,"{'architectureType': 'Contemporary', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Combination', 'fireplace': True, 'floorCount': 2, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Asphalt', 'roomCount': 8}",3.0,5750.0
110,3.0,1200.0,unknown,1.5,0.0
111,0.0,2290.0,"{'cooling': True, 'coolingType': 'Refrigeration', 'exteriorType': 'Stucco', 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'pool': True, 'roofType': 'Built-up (Layered Asphalt)', 'roomCount': 7, 'unitCount': 1}",2.0,10346.0
112,2.0,960.0,unknown,1.0,0.0
113,0.0,1159.0,"{'architectureType': 'Ranch / Rambler', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 1, 'foundationType': 'Crawl / Raised', 'garage': True, 'garageType': 'Attached Garage', 'heating': True, 'roofType': 'Composition Shingle', 'unitCount': 1}",1.0,8102.0
114,5.0,3549.0,"{'cooling': True, 'coolingType': 'Central', 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'roomCount': 10, 'unitCount': 1}",2.0,11805.0
115,0.0,1882.0,"{'exteriorType': 'Aluminum Siding', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Raised', 'heating': True, 'roofType': 'Asphalt', 'roomCount': 7, 'unitCount': 1}",0.0,12109.0
116,2.0,864.0,"{'fireplace': True, 'floorCount': 1, 'foundationType': 'Block', 'garage': True, 'garageType': 'Attached', 'heating': True, 'roofType': 'Asphalt', 'roomCount': 8}",2.0,9690.0
117,3.0,1827.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Wood', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Raised', 'garage': True, 'garageType': 'Garage', 'unitCount': 1}",2.0,10890.0
118,3.0,1674.0,unknown,2.0,9148.0
119,3.0,1122.0,{},1.0,2500.0
120,3.0,1407.0,"{'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'unitCount': 1, 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Stucco', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle'}",2.0,2239.0
121,3.0,1611.0,"{'cooling': True, 'coolingType': 'Refrigeration', 'exteriorType': 'Stucco', 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Other', 'roomCount': 7, 'unitCount': 1}",2.0,5490.0
