location_id,addressLine1,city,state,zipCode,formattedAddress,county,longitude,latitude,addressLine2
164,5500 Hunters Forest Ln,College Park,GA,30349,"5500 Hunters Forest Ln, College Park, GA 30349",Fulton,-84.460084,33.602168,unknown
165,PO Box 4704,Anaheim,CA,92803,"PO Box 4704, Anaheim, CA 92803",Orange,-117.9373,33.8422,unknown
166,317 Sw 74th St,Lawton,OK,73505,"317 Sw 74th St, Lawton, OK 73505",Comanche,-98.48329,34.604061,unknown
167,1012 Old Oaks Dr,Forney,TX,75126,"1012 Old Oaks Dr, Forney, TX 75126",Kaufman,-96.485778,32.772296,unknown
168,98 W Commerce St,Bridgeton,NJ,8302,"98 W Commerce St, Apt 1, Bridgeton, NJ 08302",Cumberland,-75.239876,39.42984,Apt 1
169,427 Lake St,Newark,NJ,7104,"427 Lake St, Newark, NJ 07104",Essex,-74.176244,40.765561,unknown
170,5330 Swamp School Rd,Cazenovia,NY,13035,"5330 Swamp School Rd, Cazenovia, NY 13035",Madison,-75.720558,42.979635,unknown
171,925 Town Sq,Princeton,TX,75407,"925 Town Sq, Princeton, TX 75407",Collin,-96.519176,33.174829,unknown
172,753 Marco Pl,Venice,CA,90291,"753 Marco Pl, Venice, CA 90291",Los Angeles,-118.45951,33.992729,unknown
173,7473 Morse Rd,New Albany,OH,43054,"7473 Morse Rd, New Albany, OH 43054",Franklin,-82.793256,40.05184,unknown
174,517 S Trenton St,Seattle,WA,98108,"517 S Trenton St, Seattle, WA 98108",King,-122.32743,47.524537,unknown
175,7523 La Salette St,Houston,TX,77021,"7523 La Salette St, Houston, TX 77021",Harris,-95.36817,29.683711,unknown
176,14027 Notreville Way,Tampa,FL,33624,"14027 Notreville Way, Tampa, FL 33624",Hillsborough,-82.536408,28.079038,unknown
177,14725 Windward Ln,Naples,FL,34114,"14725 Windward Ln, Naples, FL 34114",Collier,-81.660627,26.052739,unknown
178,314 Waters Edge Dr,Chaska,MN,55318,"314 Waters Edge Dr, Chaska, MN 55318",Carver,-93.606827,44.827092,unknown
179,103 Country View Ct,Churchville,MD,21028,"103 Country View Ct, Churchville, MD 21028",Harford,-76.251285,39.567728,unknown
180,1285 Wadsworth Dr,Florissant,MO,63031,"1285 Wadsworth Dr, Florissant, MO 63031",Saint Louis,-90.314192,38.769816,unknown
181,2605 Ave C,Birmingham,AL,35218,"2605 Ave C, Birmingham, AL 35218",Jefferson,-86.903487,33.508005,unknown
182,6731 E Douglas Park Dr,Huntersville,NC,28078,"6731 E Douglas Park Dr, Huntersville, NC 28078",Mecklenburg,-80.924664,35.39257,unknown
183,3626 Runnymede Dr,Kalamazoo,MI,49004,"3626 Runnymede Dr, Kalamazoo, MI 49004",Kalamazoo,-85.63486,42.328923,unknown
184,1975 E 29th St,Brooklyn,NY,11229,"1975 E 29th St, Brooklyn, NY 11229",Kings,-73.943255,40.603134,unknown
185,49 Bartram Trl,Brunswick,GA,31523,"49 Bartram Trl, Brunswick, GA 31523",Glynn,-81.590457,31.129057,unknown
186,52 Arlington St,Framingham,MA,1702,"52 Arlington St, Apt 1, Framingham, MA 01702",Middlesex,-71.415353,42.273903,Apt 1
187,6A Puddin Ln,Mansfield Center,CT,6250,"6A Puddin Ln, Mansfield Center, CT 06250",Tolland,-72.196357,41.745171,unknown
188,327 Collinwood Dr,Burlington,NC,27215,"327 Collinwood Dr, Burlington, NC 27215",Alamance,-79.505582,36.077489,unknown
189,17295 Nugent Ln,Dumfries,VA,22026,"17295 Nugent Ln, Dumfries, VA 22026",Prince William,-77.304353,38.576861,unknown
190,810 W Main St,Elma,WA,98541,"810 W Main St, Elma, WA 98541",Grays Harbor,-123.410685,47.003878,unknown
191,18 Millar Pl,Lockport,NY,14094,"18 Millar Pl, Lockport, NY 14094",Niagara,-78.687426,43.161359,unknown
192,11 Sunset Dr,Sarasota,FL,34236,"11 Sunset Dr, Apt 303, Sarasota, FL 34236",Sarasota,-82.550918,27.336196,Apt 303
193,252 E 6th Ave,Glenns Ferry,ID,83623,"252 E 6th Ave, Glenns Ferry, ID 83623",Elmore,-115.297835,42.957738,unknown
